date,price
1495411200,101.68
1495497600,120.38
1495584000,139.1
1495670400,143.2
1495756800,118.61
1495843200,113.35
1495929600,100.42
1496016000,107.93
1496102400,117.17
1496188800,121.85
1496275200,136.47
1496361600,137.08
1496448000,145.28
1496534400,143.88
1496620800,143.4
1496707200,145.43
1496793600,145.24
1496880000,140.82
1496966400,144.94
1497052800,149.13
1497139200,151.99
1497225600,187.1
1497312000,171.27
1497398400,183.65
1497484800,163.12
1497571200,163.63
1497657600,166.21
1497744000,178.52
1497830400,193.21
1497916800,201.37
1498003200,187.77
1498089600,179.29
1498176000,177.04
1498262400,189.31
1498348800,182.35
1498435200,172.96
1498521600,162.89
1498608000,177.01
1498694400,183.17
1498780800,177.3
1498867200,181.66
1498953600,165.61
1499040000,173.37
1499126400,180.22
1499212800,183.05
1499299200,210.34
1499385600,212.72
1499472000,196.15
1499558400,209.64
1499644800,195.99
1499731200,173.63
1499817600,165.03
1499904000,179.83
1499990400,171.48
1500076800,161.28
1500163200,139.65
1500249600,132.34
1500336000,154.5
1500422400,157.98
1500508800,154.85
1500595200,188.58
1500681600,186.13
1500768000,195.02
1500854400,191.11
1500940800,204.04
1501027200,195.49
1501113600,195.08
1501200000,194.0
1501286400,185.11
1501372800,185.45
1501459200,173.15
1501545600,179.2
1501632000,185.15
1501718400,183.17
1501804800,186.92
1501891200,186.96
1501977600,193.71
1502064000,189.07
1502150400,196.58
1502236800,203.74
1502323200,199.56
1502409600,200.82
1502496000,206.22
1502582400,205.59
1502668800,198.32
1502755200,199.8
1502841600,203.85
1502928000,231.58
1503014400,233.84
1503100800,224.67
1503187200,288.2
1503273600,293.77
1503360000,280.29
1503446400,290.46
1503532800,292.96
1503619200,317.91
1503705600,315.28
1503792000,400.42
1503878400,362.5
1503964800,357.16
1504051200,359.59
1504137600,368.57
1504224000,377.92
1504310400,393.53
1504396800,354.63
1504483200,356.94
1504569600,316.88
1504656000,328.15
1504742400,346.45
1504828800,343.53
1504915200,334.95
1505001600,323.24
1505088000,322.02
1505174400,318.42
1505260800,324.72
1505347200,301.11
1505433600,236.05
1505520000,284.51
1505606400,298.59
1505692800,311.89
1505779200,333.64
1505865600,323.78
1505952000,342.41
1506038400,331.11
1506124800,346.76
1506211200,350.4
1506297600,330.63
1506384000,345.08
1506470400,338.7
1506556800,345.97
1506643200,337.93
1506729600,327.34
1506816000,326.95
1506902400,315.95
1506988800,308.56
1507075200,296.74
1507161600,305.39
1507248000,305.25
1507334400,307.54
1507420800,310.25
1507507200,299.7
1507593600,283.55
1507680000,291.41
1507766400,298.12
1507852800,292.39
1507939200,310.23
1508025600,317.01
1508112000,309.46
1508198400,302.28
1508284800,300.02
1508371200,297.85
1508457600,295.41
1508544000,288.95
1508630400,277.93
1508716800,275.44
1508803200,283.94
1508889600,294.47
1508976000,289.03
1509062400,286.14
1509148800,281.42
1509235200,275.25
1509321600,283.65
1509408000,285.39
1509494400,278.5
1509580800,271.79
1509667200,263.89
1509753600,278.58
1509840000,274.33
1509926400,273.47
1510012800,274.87
1510099200,293.04
1510185600,315.48
1510272000,325.27
1510358400,331.43
1510444800,345.68
1510531200,507.05
1510617600,428.31
1510704000,428.08
1510790400,424.51
1510876800,420.59
1510963200,424.35
1511049600,455.36
1511136000,442.03
1511222400,500.24
1511308800,494.76
1511395200,577.25
1511481600,564.34
1511568000,566.96
1511654400,641.46
1511740800,621.15
1511827200,632.44
1511913600,626.26
1512000000,681.13
1512086400,787.47
1512172800,797.9
1512259200,778.78
1512345600,770.57
1512432000,774.71
1512518400,756.01
1512604800,699.98
1512691200,700.68
1512777600,727.64
1512864000,723.23
1512950400,688.55
1513036800,765.96
1513123200,925.02
1513209600,884.21
1513296000,943.32
1513382400,901.22
1513468800,1014.51
1513555200,1110.16
1513641600,1165.03
1513728000,1184.92
1513814400,1555.59
1513900800,1441.9
1513987200,1198.74
1514073600,1286.73
1514160000,1190.53
1514246400,1173.71
1514332800,1227.95
1514419200,1188.51
1514505600,1165.88
1514592000,1147.48
1514678400,1002.99
1514764800,1054.07
1514851200,1055.14
1514937600,1208.84
1515024000,1173.71
1515110400,1221.63
1515196800,1157.09
1515283200,1266.43
1515369600,1283.36
1515456000,1085.75
1515542400,1115.48
1515628800,1103.03
1515715200,1013.06
1515801600,1054.88
1515888000,1098.06
1515974400,1006.43
1516060800,937.57
1516147200,758.29
1516233600,800.02
1516320000,833.3
1516406400,853.05
1516492800,928.13
1516579200,825.69
1516665600,763.13
1516752000,757.11
1516838400,788.77
1516924800,793.92
1517011200,782.87
1517097600,777.05
1517184000,811.84
1517270400,767.73
1517356800,678.93
1517443200,698.79
1517529600,616.62
1517616000,589.17
1517702400,637.01
1517788800,545.32
1517875200,454.17
1517961600,524.7
1518048000,520.91
1518134400,606.76
1518220800,639.42
1518307200,633.43
1518393600,582.83
1518480000,622.11
1518566400,593.59
1518652800,679.79
1518739200,702.53
1518825600,699.13
1518912000,744.09
1518998400,687.7
1519084800,728.99
1519171200,688.38
1519257600,669.85
1519344000,631.64
1519430400,631.36
1519516800,594.43
1519603200,591.43
1519689600,622.41
1519776000,615.0
1519862400,584.14
1519948800,616.47
1520035200,602.16
1520121600,610.0
1520208000,620.88
1520294400,613.68
1520380800,578.14
1520467200,511.74
1520553600,492.66
